date,time,day,station,code,min_delay,min_gap,bound,line,day_type,rush_type
2024-01-01,02:00:00,Monday,SHEPPARD STATION,MUI,0,0,N,YU,Weekday,none
2024-01-01,02:00:00,Monday,DUNDAS STATION,MUIS,0,0,N,YU,Weekday,none
2024-01-01,02:08:00,Monday,DUNDAS STATION,MUPAA,4,10,N,YU,Weekday,none
2024-01-01,02:13:00,Monday,KENNEDY BD STATION,PUTDN,10,16,E,BD,Weekday,none
2024-01-01,02:22:00,Monday,BLOOR STATION,MUPAA,4,10,N,YU,Weekday,none
2024-01-01,02:25:00,Monday,ST CLAIR STATION,MUPAA,3,9,N,YU,Weekday,none
2024-01-01,02:25:00,Monday,BLOOR STATION,MUIRS,0,0,S,YU,Weekday,none
2024-01-01,02:27:00,Monday,WOODBINE STATION,EUDO,7,13,E,BD,Weekday,none
2024-01-01,02:28:00,Monday,FINCH STATION,MUIRS,0,0,S,YU,Weekday,none
2024-01-01,02:30:00,Monday,DAVISVILLE STATION,MUI,13,19,N,YU,Weekday,none
2024-01-01,02:36:00,Monday,FINCH STATION,MUI,24,30,S,YU,Weekday,none
2024-01-01,02:45:00,Monday,COLLEGE STATION,MUIR,12,18,N,YU,Weekday,none
2024-01-01,03:01:00,Monday,LAWRENCE WEST STATION,SUDP,3,9,N,YU,Weekday,none
2024-01-01,03:06:00,Monday,LAWRENCE WEST STATION,MUIS,0,0,S,YU,Weekday,none
2024-01-01,03:17:00,Monday,VICTORIA PARK STATION,MUIS,0,0,,BD,Weekday,none
2024-01-01,03:31:00,Monday,NORTH YORK CTR STATION,MUIRS,0,0,,YU,Weekday,none
2024-01-01,03:50:00,Monday,KENNEDY BD STATION,MUIS,0,0,,BD,Weekday,none
2024-01-01,05:26:00,Monday,FINCH STATION,SUAE,0,0,,YU,Weekday,none
2024-01-01,06:00:00,Monday,KIPLING STATION,MUIS,0,0,,BD,Weekday,morning
2024-01-01,07:05:00,Monday,DUPONT STATION,MUNCA,0,0,,YU,Weekday,morning
2024-01-01,07:57:00,Monday,SHEPPARD WEST STATION,TUNOA,12,24,N,YU,Weekday,morning
2024-01-01,08:41:00,Monday,EGLINTON STATION,TUNOA,6,12,N,YU,Weekday,morning
2024-01-01,08:42:00,Monday,SHEPPARD WEST STATION,TUNIP,6,12,N,YU,Weekday,morning
2024-01-01,09:06:00,Monday,COLLEGE STATION,SUO,0,0,S,YU,Weekday,none
2024-01-01,09:09:00,Monday,ST CLAIR STATION,PUOPO,7,13,S,YU,Weekday,none
2024-01-01,09:17:00,Monday,SUMMERHILL STATION,PUOPO,6,12,S,YU,Weekday,none
2024-01-01,09:45:00,Monday,QUEEN STATION,SUO,10,16,S,YUS,Weekday,none
2024-01-01,10:08:00,Monday,EGLINTON STATION,TUNOA,6,12,N,YU,Weekday,none
2024-01-01,11:18:00,Monday,QUEEN STATION,SUSA,0,0,N,YU,Weekday,none
2024-01-01,11:39:00,Monday,OLD MILL STATION,TUSC,3,7,E,BD,Weekday,none
2024-01-01,12:11:00,Monday,SPADINA YUS STATION,MUIR,0,0,N,YU,Weekday,none
2024-01-01,12:54:00,Monday,ST PATRICK STATION,SUDP,0,0,S,YU,Weekday,none
2024-01-01,13:24:00,Monday,VAUGHAN MC STATION,SUDP,0,0,,YU,Weekday,none
2024-01-01,14:06:00,Monday,YONGE BD STATION,MUIR,0,0,E,BD,Weekday,none
2024-01-01,14:15:00,Monday,BLOOR STATION,MUIR,12,16,N,YU,Weekday,none
2024-01-01,15:15:00,Monday,LANSDOWNE STATION,MUDD,7,11,E,BD,Weekday,evening
2024-01-01,15:23:00,Monday,ST GEORGE YUS STATION,PUMEL,0,0,,YU,Weekday,evening
2024-01-01,15:38:00,Monday,COLLEGE STATION,MUPAA,4,8,N,YU,Weekday,evening
2024-01-01,16:05:00,Monday,SPADINA BD STATION,SUDP,0,0,,BD,Weekday,evening
2024-01-01,16:20:00,Monday,ROSEDALE STATION,SUDP,7,11,S,YU,Weekday,evening
2024-01-01,17:17:00,Monday,BLOOR STATION,SUDP,0,0,S,YU,Weekday,evening
2024-01-01,17:35:00,Monday,ROSEDALE STATION,MUPAA,0,0,N,YU,Weekday,evening
2024-01-01,19:01:00,Monday,DUFFERIN STATION,MUIRS,0,0,W,BD,Weekday,none
2024-01-01,19:54:00,Monday,DONLANDS STATION,SUUT,0,0,W,BD,Weekday,none
2024-01-01,20:52:00,Monday,QUEEN STATION,MUPAA,7,13,S,YU,Weekday,none
2024-01-01,21:07:00,Monday,KENNEDY BD STATION,MUNOA,6,12,W,BD,Weekday,none
2024-01-01,22:00:00,Monday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,Weekday,none
2024-01-01,22:10:00,Monday,DUFFERIN STATION,MUIS,0,0,,BD,Weekday,none
2024-01-01,22:13:00,Monday,ST GEORGE YUS STATION,SUDP,0,0,S,YU,Weekday,none
2024-01-01,00:01:00,Monday,GO PROTOCOL - DANFORTH,MUO,0,0,,BD,Weekday,none
2024-01-01,00:44:00,Monday,VAUGHAN MC STATION,MUPAA,0,0,S,YU,Weekday,none
2024-01-01,00:48:00,Monday,BLOOR STATION,SUO,0,0,S,YU,Weekday,none
2024-01-01,01:10:00,Monday,VAUGHAN MC STATION,MUO,8,14,S,YU,Weekday,none
2024-01-01,01:11:00,Monday,DUNDAS STATION,SUO,0,0,S,YU,Weekday,none
2024-01-01,01:38:00,Monday,ST GEORGE YUS STATION,SUUT,0,0,N,YU,Weekday,none
2024-01-01,01:46:00,Monday,SHEPPARD WEST STATION,SUAE,0,0,,YU,Weekday,none
2024-01-02,02:06:00,Tuesday,FINCH STATION,MUIS,0,0,S,YU,Weekday,none
2024-01-02,06:02:00,Tuesday,SPADINA BD STATION,TUSC,0,0,E,BD,Weekday,morning
2024-01-02,06:19:00,Tuesday,WARDEN STATION,MUIRS,0,0,,BD,Weekday,morning
2024-01-02,06:42:00,Tuesday,ST CLAIR WEST STATION,MUIS,0,0,,YU,Weekday,morning
2024-01-02,06:53:00,Tuesday,CHRISTIE STATION,SUO,0,0,,BD,Weekday,morning
